age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,income
Young, Private, HSgrad,9, Nevermarried, Handlerscleaners, Ownchild, White, Male,Low,None,Part-time, UnitedStates,0
Senior, Private, Assocacdm,12, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, 5th6th,3, Divorced, Transportmoving, Unmarried, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Stategov, Assocacdm,12, Nevermarried, Protectiveserv, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Overtime, UnitedStates,1
Middleaged, Stategov, Bachelors,13, Marriedcivspouse, Admclerical, Husband, White, Male,Low,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Farmingfishing, Ownchild, Black, Male,None,None,Overtime, UnitedStates,0
Old, Private, Profschool,15, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Part-time, UnitedStates,0
Young, Private, 12th,8, Nevermarried, Sales, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Selfempnotinc, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,Low,None,Fulltime, UnitedStates,0
Old,null, Bachelors,13, Marriedcivspouse,null, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Private, Doctorate,16, Marriedcivspouse, Profspecialty, Husband, AsianPacIslander, Male,None,None,Fulltime,null,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Handlerscleaners, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Otherservice, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Admclerical, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, HSgrad,9, Marriedcivspouse, Farmingfishing, Husband, White, Male,None,None,Part-time, UnitedStates,0
Young,null, 11th,7, Nevermarried,null, Unmarried, Black, Female,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Handlerscleaners, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior,null, 10th,6, Marriedcivspouse,null, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Senior,null, Bachelors,13, Divorced,null, Notinfamily, White, Female,None,None,Part-time, UnitedStates,0
Senior,null, 11th,7, Widowed,null, Notinfamily, White, Female,Low,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Profspecialty, Ownchild, White, Male,None,None,Part-time, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Handlerscleaners, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Selfempinc, Assocvoc,11, Divorced, Sales, Notinfamily, White, Male,Low,None,Overtime, UnitedStates,0
Young, Private, 9th,5, Marriedcivspouse, Handlerscleaners, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Senior, Federalgov, HSgrad,9, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Localgov, HSgrad,9, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,1
Young, Stategov, HSgrad,9, Nevermarried, Execmanagerial, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Federalgov, Bachelors,13, Divorced, Execmanagerial, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 12th,8, Separated, Transportmoving, Unmarried, Black, Male,None,None,Fulltime, UnitedStates,0
Young, Stategov, HSgrad,9, Nevermarried, Admclerical, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Otherservice, Notinfamily, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Wife, Black, Female,None,None,Fulltime, UnitedStates,0
Old,null, Doctorate,16, Marriedcivspouse,null, Husband, White, Male,High,None,Overtime, UnitedStates,1
Middleaged, Private, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Male,Low,None,Overtime, UnitedStates,0
Young, Private, Assocacdm,12, Nevermarried, Execmanagerial, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Senior, Stategov, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young,null, Bachelors,13, Nevermarried,null, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Unmarried, Black, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, Bachelors,13, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Federalgov, Somecollege,10, Widowed, Techsupport, Notinfamily, White, Female,None,None,Overtime, UnitedStates,1
Old,null, Masters,14, Marriedcivspouse,null, Husband, White, Male,None,None,Part-time, UnitedStates,1
Young, Private, 10th,6, Marriedcivspouse, Otherservice, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Separated, Sales, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Senior, Federalgov, HSgrad,9, Nevermarried, Admclerical, Notinfamily, AmerIndianEskimo, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Nevermarried, Techsupport, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 1st4th,2, Marriedcivspouse, Otherservice, Wife, White, Female,None,None,Part-time, ElSalvador,0
Old,null, HSgrad,9, Widowed,null, Unmarried, White, Female,None,None,Part-time, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Assocvoc,11, Nevermarried, Sales, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged,null, Assocacdm,12, Marriedcivspouse,null, Wife, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,High,None,Overtime, UnitedStates,1
Middleaged, Private, HSgrad,9, Nevermarried, Handlerscleaners, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Sales, Notinfamily, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, Bachelors,13, Divorced, Profspecialty, Unmarried, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Handlerscleaners, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Techsupport, Unmarried, AsianPacIslander, Female,None,None,Part-time, Philippines,0
Senior, Private, Masters,14, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Overtime, UnitedStates,1
Senior, Selfempnotinc, Bachelors,13, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,0
Senior, Private, Masters,14, Marriedcivspouse, Techsupport, Husband, White, Male,None,High,Part-time, UnitedStates,1
Senior, Private, HSgrad,9, Divorced, Farmingfishing, Notinfamily, White, Female,None,None,Workaholic, UnitedStates,0
Middleaged, Localgov, Somecollege,10, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Federalgov, Assocacdm,12, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Assocvoc,11, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Assocvoc,11, Marriedspouseabsent, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Profschool,15, Marriedcivspouse, Profspecialty, Husband, AsianPacIslander, Male,None,None,Part-time, India,1
Senior, Private, Somecollege,10, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Workaholic, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Ownchild, White, Male,None,None,Overtime, UnitedStates,0
Senior, Localgov, Bachelors,13, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Assocvoc,11, Marriedcivspouse, Craftrepair, Husband, White, Male,None,High,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Sales, Ownchild, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Overtime, UnitedStates,0
Old,null, HSgrad,9, Marriedcivspouse,null, Husband, White, Male,None,None,Part-time, UnitedStates,0
Middleaged,null, Somecollege,10, Nevermarried,null, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, Somecollege,10, Widowed, Admclerical, Unmarried, White, Female,None,None,Overtime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Bachelors,13, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Otherservice, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Admclerical, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, 5th6th,3, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, Mexico,0
Middleaged, Stategov, HSgrad,9, Divorced, Admclerical, Unmarried, White, Female,None,None,Overtime, UnitedStates,1
Young, Private, Somecollege,10, Nevermarried, Otherservice, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, 10th,6, Nevermarried, Handlerscleaners, Ownchild, Black, Male,None,Low,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Overtime, UnitedStates,1
Senior, Private, HSgrad,9, Marriedcivspouse, Sales, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Profschool,15, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Federalgov, HSgrad,9, Marriedcivspouse, Admclerical, Husband, Other, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Male,None,None,Fulltime, Canada,0
Middleaged, Selfempinc, Bachelors,13, Marriedcivspouse, Execmanagerial, Wife, AsianPacIslander, Female,None,None,Workaholic,null,0
Middleaged, Private, Somecollege,10, Nevermarried, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Otherservice, Ownchild, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Otherservice, Husband, AsianPacIslander, Male,None,None,Fulltime, Philippines,0
Senior, Selfempinc, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,High,None,Workaholic, UnitedStates,1
Middleaged, Selfempnotinc, Bachelors,13, Marriedcivspouse, Sales, Wife, AsianPacIslander, Female,None,None,Overtime, South,0
Senior, Private, Somecollege,10, Widowed, Sales, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Bachelors,13, Nevermarried, Profspecialty, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Selfempinc, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Senior, Private, HSgrad,9, Nevermarried, Craftrepair, Notinfamily, Other, Female,None,None,Fulltime,null,0
Young, Private, Somecollege,10, Nevermarried, Handlerscleaners, Ownchild, White, Male,None,None,Overtime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Execmanagerial, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Localgov, HSgrad,9, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Selfempnotinc, 9th,5, Separated, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Techsupport, Otherrelative, Black, Male,None,None,Fulltime,null,0
Young, Private, 10th,6, Nevermarried, Otherservice, Otherrelative, Black, Female,None,None,Part-time, UnitedStates,0
Middleaged,null, Somecollege,10, Nevermarried,null, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Nevermarried, Sales, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,1
Old, Private, HSgrad,9, Widowed, Otherservice, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Separated, Admclerical, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Divorced, Transportmoving, Notinfamily, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Fulltime, UnitedStates,1
Young, Private, HSgrad,9, Separated, Otherservice, Unmarried, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Profspecialty, Wife, White, Female,High,None,Overtime, UnitedStates,1
Old, Private, Somecollege,10, Marriedcivspouse, Transportmoving, Husband, White, Male,High,None,Part-time, UnitedStates,1
Young, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Somecollege,10, Divorced, Admclerical, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 12th,8, Nevermarried, Craftrepair, Unmarried, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Federalgov, Somecollege,10, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, Doctorate,16, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Overtime, UnitedStates,1
Young, Stategov, Somecollege,10, Nevermarried, Techsupport, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Execmanagerial, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Senior, Private, Somecollege,10, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Admclerical, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Profspecialty, Otherrelative, Black, Female,Low,None,Part-time, UnitedStates,0
Young,null, Somecollege,10, Nevermarried,null, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Somecollege,10, Divorced, Execmanagerial, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Stategov, Masters,14, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Young, Private, 9th,5, Marriedcivspouse, Machineopinspct, Husband, White, Male,None,None,Fulltime, Mexico,0
Young, Private, Assocacdm,12, Nevermarried, Admclerical, Notinfamily, White, Female,None,None,Part-time, UnitedStates,0
Senior, Private, Somecollege,10, Divorced, Profspecialty, Notinfamily, White, Male,High,None,Overtime, UnitedStates,1
Middleaged, Private, HSgrad,9, Divorced, Otherservice, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Divorced, Otherservice, Notinfamily, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Federalgov, Somecollege,10, Marriedcivspouse, Admclerical, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Private, Somecollege,10, Marriedcivspouse, Otherservice, Wife, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,Low,None,Workaholic, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Admclerical, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, Somecollege,10, Separated, Sales, Unmarried, White, Male,None,None,Overtime, UnitedStates,0
Middleaged,null, Bachelors,13, Marriedcivspouse,null, Wife, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Otherservice, Otherrelative, White, Female,None,None,Part-time, UnitedStates,0
Young, Selfempinc, Bachelors,13, Nevermarried, Sales, Notinfamily, White, Male,None,None,Overtime, UnitedStates,1
Young, Private, Somecollege,10, Nevermarried, Sales, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, 11th,7, Divorced, Craftrepair, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Handlerscleaners, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,0
Old,null, 7th8th,4, Marriedcivspouse,null, Husband, AmerIndianEskimo, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Assocvoc,11, Marriedcivspouse, Techsupport, Husband, White, Male,Low,None,Fulltime, UnitedStates,1
Senior, Private, HSgrad,9, Divorced, Machineopinspct, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Doctorate,16, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,1
Young, Private, HSgrad,9, Nevermarried, Admclerical, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Machineopinspct, Ownchild, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Divorced, Profspecialty, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Otherservice, Wife, AsianPacIslander, Female,None,None,Fulltime, Philippines,0
Young, Private, 11th,7, Nevermarried, Otherservice, Ownchild, Black, Male,None,None,Part-time, UnitedStates,0
Senior,null, HSgrad,9, Separated,null, Unmarried, White, Female,None,None,Fulltime, Columbia,0
Middleaged, Private, 5th6th,3, Nevermarried, Otherservice, Notinfamily, White, Male,None,None,Overtime, ElSalvador,0
Young, Private, HSgrad,9, Nevermarried, Sales, Ownchild, Black, Female,None,None,Part-time, UnitedStates,0
Young, Stategov, Somecollege,10, Nevermarried, Admclerical, Ownchild, White, Female,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Part-time, UnitedStates,0
Senior, Selfempnotinc, Assocvoc,11, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Techsupport, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Part-time, UnitedStates,0
Young, Neverworked, 7th8th,4, Divorced,null, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Young, Stategov, HSgrad,9, Nevermarried, Otherservice, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,High,None,Fulltime, UnitedStates,1
Middleaged, Private, Bachelors,13, Marriedcivspouse, Execmanagerial, Husband, White, Male,None,None,Fulltime, UnitedStates,1
Middleaged, Private, 7th8th,4, Widowed, Otherservice, Unmarried, White, Female,None,None,Workaholic, UnitedStates,0
Young, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Nevermarried, Admclerical, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Nevermarried, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Bachelors,13, Divorced, Privhouseserv, Unmarried, White, Female,None,None,Part-time, UnitedStates,0
Senior, Localgov, Somecollege,10, Marriedcivspouse, Protectiveserv, Husband, White, Male,None,None,Overtime, UnitedStates,1
Young,null, Somecollege,10, Nevermarried,null, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Masters,14, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, Mexico,0
Young, Private, HSgrad,9, Marriedcivspouse, Admclerical, Wife, White, Female,None,None,Overtime, UnitedStates,1
Young, Localgov, HSgrad,9, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Somecollege,10, Marriedcivspouse, Sales, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Senior, Localgov, HSgrad,9, Marriedcivspouse, Machineopinspct, Husband, Black, Male,None,None,Fulltime, UnitedStates,1
Young, Private, Somecollege,10, Divorced, Admclerical, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, HSgrad,9, Divorced, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Techsupport, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempinc, Somecollege,10, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Overtime, UnitedStates,1
Middleaged, Private, Assocacdm,12, Divorced, Craftrepair, Notinfamily, White, Male,None,None,Overtime, UnitedStates,0
Middleaged, Localgov, Somecollege,10, Marriedcivspouse, Profspecialty, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, 11th,7, Nevermarried, Otherservice, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Transportmoving, Husband, White, Male,None,None,Overtime, UnitedStates,1
Senior, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Craftrepair, Notinfamily, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Localgov, HSgrad,9, Divorced, Protectiveserv, Unmarried, White, Female,None,None,Overtime, UnitedStates,0
Senior, Private, Somecollege,10, Widowed, Execmanagerial, Unmarried, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Profschool,15, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Senior, Private, Bachelors,13, Marriedcivspouse, Sales, Husband, White, Male,None,None,Workaholic, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Craftrepair, Unmarried, White, Male,None,None,Fulltime, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,None,Fulltime, UnitedStates,0
Senior, Private, Bachelors,13, Divorced, Execmanagerial, Notinfamily, White, Male,None,High,Overtime, UnitedStates,1
Young, Private, HSgrad,9, Nevermarried, Machineopinspct, Ownchild, White, Male,Low,None,Fulltime, UnitedStates,0
Middleaged,null, HSgrad,9, Divorced,null, Ownchild, White, Female,None,None,Part-time, UnitedStates,0
Middleaged, Private, HSgrad,9, Marriedcivspouse, Craftrepair, Husband, White, Male,None,Low,Fulltime, UnitedStates,1
Senior, Private, HSgrad,9, Divorced, Handlerscleaners, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Middleaged, Private, HSgrad,9, Nevermarried, Otherservice, Unmarried, Black, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Somecollege,10, Nevermarried, Execmanagerial, Otherrelative, Black, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Private, Assocacdm,12, Divorced, Machineopinspct, Notinfamily, White, Female,None,None,Overtime, UnitedStates,0
Middleaged, Private, Bachelors,13, Marriedcivspouse, Techsupport, Wife, White, Female,None,None,Part-time, UnitedStates,1
Young, Private, HSgrad,9, Nevermarried, Otherservice, Ownchild, White, Male,None,None,Fulltime, ElSalvador,0
Senior, Stategov, Somecollege,10, Divorced, Otherservice, Ownchild, White, Male,None,None,Fulltime, UnitedStates,0
Young, Private, HSgrad,9, Nevermarried, Sales, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Middleaged, Selfempnotinc, Assocvoc,11, Marriedcivspouse, Profspecialty, Wife, White, Female,Low,None,Overtime, UnitedStates,1
Young, Private, Somecollege,10, Marriedcivspouse, Sales, Otherrelative, White, Female,None,None,Fulltime, UnitedStates,0
Young, Private, Bachelors,13, Nevermarried, Profspecialty, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
Old, Private, HSgrad,9, Widowed, Admclerical, Notinfamily, White, Female,None,None,Fulltime, UnitedStates,0
